NODES: 2080
MATERIALS: 1
THICKNESSES: 1
ELEMENTS_T3: 0
ELEMENTS_T6: 0
ELEMENTS_T10: 442                 
FORCES: 1
PRESSURES: 0
DISPLACEMENTS:2

NODE,X,Y
0,2.50000000,0.00000000
1,2.58333333,0.00000000
2,2.66666667,0.00000000
3,2.75000000,0.00000000
4,2.83333333,0.00000000
5,2.91666667,0.00000000
6,3.00000000,0.00000000
7,3.08333333,0.00000000
8,3.16666667,0.00000000
9,3.25000000,0.00000000
10,3.33333333,0.00000000
11,3.41666667,0.00000000
12,3.50000000,0.00000000
13,3.58333333,0.00000000
14,3.66666667,0.00000000
15,3.75000000,0.00000000
16,3.83333333,0.00000000
17,3.91666667,0.00000000
18,4.00000000,0.00000000
19,4.08333333,0.00000000
20,4.16666667,0.00000000
21,4.25000000,0.00000000
22,4.33333333,0.00000000
23,4.41666667,0.00000000
24,4.50000000,0.00000000
25,4.50000000,0.08333333
26,4.50000000,0.16666667
27,4.50000000,0.25000000
28,4.50000000,0.33333333
29,4.50000000,0.41666667
30,4.50000000,0.50000000
31,4.41666667,0.50000000
32,4.33333333,0.50000000
33,4.25000000,0.50000000
34,4.16666667,0.50000000
35,4.08333333,0.50000000
36,4.00000000,0.50000000
37,3.91666667,0.50000000
38,3.83333333,0.50000000
39,3.75000000,0.50000000
40,3.66666667,0.50000000
41,3.58333333,0.50000000
42,3.50000000,0.50000000
43,3.41666667,0.50000000
44,3.33333333,0.50000000
45,3.25000000,0.50000000
46,3.16666667,0.50000000
47,3.08333333,0.50000000
48,3.00000000,0.50000000
49,2.91666667,0.50000000
50,2.83333333,0.50000000
51,2.75000000,0.50000000
52,2.66666667,0.50000000
53,2.58333333,0.50000000
54,2.50000000,0.50000000
55,2.50000000,0.41666667
56,2.50000000,0.33333333
57,2.50000000,0.25000000
58,2.50000000,0.16666667
59,2.50000000,0.08333333
60,2.62500000,0.12500000
61,2.87500000,0.14772701
62,3.20833333,0.14772701
63,3.45833333,0.14772701
64,2.62500000,0.37500000
65,3.70833333,0.14772701
66,4.04166667,0.14772701
67,4.37500000,0.12500000
68,4.37500000,0.37500000
69,2.58333333,0.20833333
70,2.55555556,0.12500000
71,2.56051587,0.06051587
72,2.62500000,0.05026997
73,2.70833333,0.07693861
74,2.95833333,0.09149174
75,2.95833333,0.35227299
76,2.87500000,0.06798743
77,3.29166667,0.09149174
78,3.29166667,0.35227299
79,3.12500000,0.09149174
80,3.20833333,0.06798743
81,3.45833333,0.06798743
82,3.54166667,0.35227299
83,2.62500000,0.44444444
84,2.56051587,0.43948413
85,2.71527778,0.40972222
86,2.55026997,0.37500000
87,2.57550717,0.29339367
88,3.62500000,0.09149174
89,3.70833333,0.06798743
90,3.79166667,0.35227299
91,4.12500000,0.09149174
92,4.12500000,0.35227299
93,3.87500000,0.14772701
94,4.04166667,0.06798743
95,4.37500000,0.05555556
96,4.43948413,0.06051587
97,4.28472222,0.09027778
98,4.44973003,0.12500000
99,4.42306139,0.20833333
100,4.44444444,0.37500000
101,4.43948413,0.43948413
102,4.40972222,0.29474976
103,4.37500000,0.44973003
104,4.29166667,0.42306139
105,2.95833333,0.03625807
106,3.01897443,0.06387491
107,3.03761092,0.18518326
108,3.01118506,0.12715731
109,3.07548208,0.13290585
110,2.95097201,0.18960954
111,3.13977151,0.15946449
112,3.19443205,0.27263874
113,3.18339722,0.20818129
114,3.30083124,0.22125039
115,3.10123812,0.25541984
116,3.24023247,0.23162463
117,3.28067257,0.28567217
118,3.40495396,0.28919704
119,3.34331036,0.26990771
120,3.38319107,0.19221945
121,3.35659136,0.33560815
122,3.44586154,0.38022833
123,3.34301764,0.41752894
124,2.95833333,0.43201257
125,2.79356759,0.10785722
126,3.29166667,0.03625807
127,3.35230777,0.06387491
128,3.34717798,0.13299725
129,3.40390384,0.10245553
130,3.20833333,0.40850826
131,3.12500000,0.03625807
132,3.07558394,0.06387491
133,3.54166667,0.07229736
134,3.54166667,0.43201257
135,2.70833333,0.46420940
136,2.76240079,0.44341422
137,2.79856591,0.34303212
138,3.62500000,0.03625807
139,3.79166667,0.07229736
140,3.79166667,0.43201257
141,4.12500000,0.03625807
142,4.18564110,0.06387491
143,4.20427758,0.18518326
144,4.17785172,0.12715731
145,4.23997556,0.13389555
146,4.30953300,0.16049197
147,4.11763867,0.18960954
148,4.12500000,0.43201257
149,3.95833333,0.35227299
150,3.87500000,0.06798743
151,3.95833333,0.10785722
152,4.29166667,0.03579060
153,4.24054199,0.05696084
154,4.44686595,0.25624551
155,2.92952619,0.13866552
156,2.99845839,0.26895884
157,3.45460213,0.22712470
158,3.45833333,0.44671241
159,3.39804696,0.44250706
160,3.38868442,0.38301069
161,2.87500000,0.42770264
162,3.06100765,0.39214278
163,2.76372419,0.05718419
164,3.27534526,0.41794900
165,3.20833333,0.46374193
166,3.14769223,0.43612509
167,3.14348357,0.34649736
168,3.56126659,0.17769842
169,3.50131926,0.39214278
170,3.48461176,0.33488487
171,3.53756697,0.26342516
172,3.64434098,0.39214278
173,2.69956423,0.26191761
174,2.86467761,0.25629634
175,3.87500000,0.42770264
176,4.28187805,0.28707169
177,4.36566666,0.18590893
178,4.31298730,0.22755753
179,4.24870345,0.23184287
180,4.37117478,0.24701602
181,4.34478846,0.30775572
182,4.19576883,0.30121740
183,4.31239155,0.36271988
184,4.23423213,0.36960509
185,4.09619286,0.13866552
186,4.04166667,0.42770264
187,3.95833333,0.43201257
188,4.02843004,0.26158258
189,3.93189449,0.05609409
190,2.99578720,0.21667370
191,3.04634437,0.24030160
192,2.94790123,0.24533094
193,3.05631816,0.31130483
194,2.81989197,0.44409801
195,3.04166667,0.45238547
196,3.00192951,0.39214278
197,2.82011171,0.05486458
198,3.50198137,0.18956472
199,3.51765899,0.12952152
200,3.46124866,0.28333245
201,3.62500000,0.45238547
202,3.68792290,0.43936087
203,3.71706549,0.36874057
204,3.58526284,0.39214278
205,3.61480191,0.31607256
206,2.63196454,0.25569795
207,2.64931143,0.18923905
208,2.66039080,0.31721171
209,2.73038401,0.32527543
210,2.78218210,0.26090387
211,2.89337074,0.20424901
212,2.82003129,0.19775055
213,2.74003035,0.19272279
214,4.12016288,0.27099360
215,4.20833333,0.43888769
216,4.17546218,0.38711804
217,4.05832205,0.20736055
218,3.97706212,0.19791343
219,3.98761354,0.05435274
220,2.91312628,0.30270305
221,2.89429697,0.36527417
222,2.85356595,0.31639052
223,3.73860961,0.41895432
224,3.73162511,0.25748605
225,2.78224324,0.16003299
226,2.72812628,0.13375087
227,4.16308010,0.22893131
228,4.06931923,0.31480305
229,4.06947512,0.37467750
230,4.00888898,0.31891373
231,3.94160061,0.27192679
232,3.74448620,0.31574910
233,3.67964374,0.31578627
234,3.81851421,0.26885702
235,3.64686213,0.23423388
236,3.90766698,0.21016651
237,3.88018013,0.26547132
238,3.85256904,0.32584606
239,3.84066933,0.20545314
240,3.80273222,0.14381976
241,3.77325668,0.20445517
242,3.59555410,0.26133313
243,3.69994250,0.20685849
244,3.64690663,0.16917155
245,3.91011366,0.32039965
246,3.90631741,0.37855413
247,3.27578307,0.15781653
248,3.09494855,0.19717938
249,3.22172591,0.33849211
250,3.11520595,0.39273788
251,3.14276012,0.29149659
252,2.52777778,0.00000000
253,2.55555556,0.00000000
254,2.50000000,0.02777778
255,2.50000000,0.05555556
256,2.52017196,0.02017196
257,2.54034392,0.04034392
258,2.61111111,0.00000000
259,2.63888889,0.00000000
260,2.57572751,0.02017196
261,2.56812169,0.04034392
262,2.59722222,0.01675666
263,2.61111111,0.03351331
264,2.69444444,0.00000000
265,2.72222222,0.00000000
266,2.65277778,0.01675666
267,2.63888889,0.03351331
268,2.68055556,0.02564620
269,2.69444444,0.05129241
270,2.77777778,0.00000000
271,2.80555556,0.00000000
272,2.73611111,0.02564620
273,2.72222222,0.05129241
274,2.75457473,0.01906140
275,2.75914946,0.03812279
276,2.77337057,0.01828819
277,2.79674114,0.03657639
278,2.86111111,0.00000000
279,2.88888889,0.00000000
280,2.84722222,0.02266248
281,2.86111111,0.04532495
282,2.82892613,0.01828819
283,2.82451892,0.03657639
284,2.94444444,0.00000000
285,2.97222222,0.00000000
286,2.90277778,0.02266248
287,2.88888889,0.04532495
288,2.93055556,0.01208602
289,2.94444444,0.02417205
290,3.02777778,0.00000000
291,3.05555556,0.00000000
292,2.98611111,0.01208602
293,2.97222222,0.02417205
294,3.00632481,0.02129164
295,3.01264962,0.04258327
296,3.11111111,0.00000000
297,3.13888889,0.00000000
298,3.06188037,0.02129164
299,3.04042740,0.04258327
300,3.09722222,0.01208602
301,3.11111111,0.02417205
302,3.08075020,0.02129164
303,3.07816707,0.04258327
304,3.19444444,0.00000000
305,3.22222222,0.00000000
306,3.18055556,0.02266248
307,3.19444444,0.04532495
308,3.15277778,0.01208602
309,3.13888889,0.02417205
310,3.27777778,0.00000000
311,3.30555556,0.00000000
312,3.23611111,0.02266248
313,3.22222222,0.04532495
314,3.26388889,0.01208602
315,3.27777778,0.02417205
316,3.36111111,0.00000000
317,3.38888889,0.00000000
318,3.31944444,0.01208602
319,3.30555556,0.02417205
320,3.33965814,0.02129164
321,3.34598296,0.04258327
322,3.44444444,0.00000000
323,3.47222222,0.00000000
324,3.43055556,0.02266248
325,3.44444444,0.04532495
326,3.39521370,0.02129164
